 DISTRICT,BLOCK,PANCHAYAT
 BALESHWAR, BALESHWAR, BARDHANPUR
 BALESHWAR, BALESHWAR, BUANL
 BALESHWAR, BALESHWAR, CHANDIPUR
 BALESHWAR, BALESHWAR, CHANUA
 BALESHWAR, BALESHWAR, DUBULA GADI
 BALESHWAR, BALESHWAR, GENGUTI
 BALESHWAR, BALESHWAR, GOPINATHPUR
 BALESHWAR, BALESHWAR, GOPINATHPUR
 BALESHWAR, BALESHWAR, GUD
 BALESHWAR, BALESHWAR, HALADIPADA
 BALESHWAR, BALESHWAR, HIDIGAN
 BALESHWAR, BALESHWAR, JADIA
 BALESHWAR, BALESHWAR, JAYDEVKASABA
